socioeconomic_group,region,state,urban_rural,school_network,count,mean,median,std
Baixo,Sudeste,SP,Rural,Pública,14,255.69230983009479,251.73497332183905,24.63968606592062
Baixo,Sudeste,SP,Urbana,Pública,55,238.05343165526978,237.72242620379572,12.496761800155573
Baixo,Sul,PR,Rural,Pública,28,260.7729069735618,260.34461975394737,16.009537888721443
Baixo,Sul,PR,Urbana,Pública,17,247.3077663661877,246.55498004192958,12.956236917893905
Baixo,Sul,RS,Rural,Pública,17,239.67953791041845,246.6079951538462,20.35841302409571
Baixo,Sul,RS,Urbana,Pública,48,234.61336576696942,232.33355412207712,16.935528950524517
Baixo,Sul,SC,Urbana,Pública,2,222.40288718888115,222.40288718888115,11.915194750254042
Médio,Centro-Oeste,DF,Rural,Pública,7,226.57741539537005,232.3050450777841,13.818027215331837
Médio,Centro-Oeste,DF,Urbana,Pública,12,234.54999025424806,236.56732057934565,10.584118993837972
Médio,Centro-Oeste,GO,Rural,Privada,1,230.82179192307697,230.82179192307697,
Médio,Centro-Oeste,GO,Rural,Pública,35,254.3318507443573,252.97985826774206,17.323275310646263
Médio,Centro-Oeste,GO,Urbana,Pública,334,256.037270312399,254.70178149484022,18.251510791687373
Médio,Centro-Oeste,MS,Rural,Privada,1,288.07636209375,288.07636209375,
Médio,Centro-Oeste,MS,Rural,Pública,26,237.62002558373325,237.3730767578667,9.613874595571453
Médio,Centro-Oeste,MS,Urbana,Pública,119,241.22145719394678,239.8299468333334,13.188744714316032
Médio,Centro-Oeste,MT,Rural,Pública,70,239.62282673586483,239.9162292139423,15.214355597868977
Médio,Centro-Oeste,MT,Urbana,Pública,202,235.89724229720588,235.86906095414528,11.85891810855023
Médio,Nordeste,AL,Rural,Pública,7,289.37856320309777,257.64758776470586,67.4100555491718
Médio,Nordeste,AL,Urbana,Privada,4,257.94941920604396,258.9571751428572,12.475305487177694
Médio,Nordeste,AL,Urbana,Pública,38,261.06588665532445,247.3095430499296,41.584521971229066
Médio,Nordeste,BA,Rural,Privada,1,241.72803175,241.72803175,
Médio,Nordeste,BA,Rural,Pública,93,240.13953437193535,238.95897323916785,21.407104294478962
Médio,Nordeste,BA,Urbana,Privada,2,254.27986970738635,254.27986970738635,35.60411758160158
Médio,Nordeste,BA,Urbana,Pública,240,243.7924595667515,244.06068216459056,17.65428346819001
Médio,Nordeste,CE,Rural,Pública,33,273.37430088086177,264.34832228571423,37.4981867462861
Médio,Nordeste,CE,Urbana,Privada,5,273.6334197935065,265.950988,20.68170518307962
Médio,Nordeste,CE,Urbana,Pública,118,266.7146304599563,265.45328689855063,19.431565970916363
Médio,Nordeste,MA,Rural,Privada,1,277.03632999999996,277.03632999999996,
Médio,Nordeste,MA,Rural,Pública,11,241.04932732164386,239.580031761336,25.5397473346773
Médio,Nordeste,MA,Urbana,Privada,3,258.42322743860876,264.5633024705882,24.579774136385538
Médio,Nordeste,MA,Urbana,Pública,137,248.57850723265418,246.30538051932197,15.944276569959111
Médio,Nordeste,PB,Rural,Pública,4,243.53290634460285,244.4193738993506,11.780484883039488
Médio,Nordeste,PB,Urbana,Privada,1,270.74821185714296,270.74821185714296,
Médio,Nordeste,PB,Urbana,Pública,110,245.62181335167065,246.19171629282897,16.523510825737226
Médio,Nordeste,PE,Rural,Pública,10,254.94980675604285,250.74301023768467,12.781613814610497
Médio,Nordeste,PE,Urbana,Privada,5,266.5443390128449,268.7995887333333,14.996548632877499
Médio,Nordeste,PE,Urbana,Pública,146,256.29172133481785,256.4431547834227,14.024793136272784
