socioeconomic_group,region,state,urban_rural,school_network,count,mean,median,std
Médio,Norte,RO,Rural,Pública,70,245.47767451482906,246.05689634962408,15.877678718393188
Médio,Norte,RO,Urbana,Pública,135,245.67046529855077,246.46290302072063,11.196793766023243
Médio,Norte,RR,Rural,Pública,5,210.60418663418105,210.12579283333332,9.83081533699807
Médio,Norte,RR,Urbana,Pública,32,234.93785384050562,235.64106104484273,13.94706218569114
Médio,Norte,TO,Rural,Privada,1,246.13942762857144,246.13942762857144,
Médio,Norte,TO,Rural,Pública,15,242.44774980243662,249.21397075084403,13.271442011923956
Médio,Norte,TO,Urbana,Privada,1,255.9334732083333,255.9334732083333,
Médio,Norte,TO,Urbana,Pública,140,246.573372427143,247.56540071713744,13.27315182346238
Médio,Sudeste,ES,Rural,Pública,71,259.1916219875311,260.54872514285717,16.15229459413433
Médio,Sudeste,ES,Urbana,Pública,284,257.6315002499303,258.78164594083205,16.099265283469617
Médio,Sudeste,MG,Rural,Privada,1,231.552975125,231.552975125,
Médio,Sudeste,MG,Rural,Pública,115,249.93559765990884,251.4990229444445,19.294724846963966
Médio,Sudeste,MG,Urbana,Pública,1124,247.48540861254762,248.25471794388827,15.367790092546086
Médio,Sudeste,RJ,Rural,Pública,96,246.41353974270547,246.6183051770833,19.25367644117182
Médio,Sudeste,RJ,Urbana,Pública,891,247.34803801148269,247.94866749051297,18.613172933996033
Médio,Sudeste,SP,Rural,Pública,53,255.43115526552782,257.0104561904762,15.117668862412017
Médio,Sudeste,SP,Urbana,Pública,985,247.56926441788602,247.61518527481272,13.185127607403752
Médio,Sul,PR,Rural,Pública,87,258.15393153725506,259.22823712,17.473798887048588
Médio,Sul,PR,Urbana,Pública,220,254.04195812007282,254.80667426448275,13.336498720945881
Médio,Sul,RS,Rural,Pública,96,246.4928859501923,249.99276870707072,19.067459599161687
Médio,Sul,RS,Urbana,Pública,407,244.70322528045781,244.63500484615383,17.892608648735024
Médio,Sul,SC,Rural,Pública,27,250.35003772032562,250.4424336412196,16.79586156190683
Médio,Sul,SC,Urbana,Pública,62,246.83682693827248,246.1951217862001,12.92774385619789
Alto,Centro-Oeste,DF,Rural,Pública,14,241.77421561336243,244.28955599380566,9.563048111511268
Alto,Centro-Oeste,DF,Urbana,Pública,69,244.1193910347453,244.72881833522837,12.721271145811162
Alto,Centro-Oeste,GO,Rural,Pública,33,258.5746871824456,260.2914478319784,23.416063647674466
Alto,Centro-Oeste,GO,Urbana,Pública,431,264.39715864467473,264.2702002645567,14.57533672719049
Alto,Centro-Oeste,MS,Rural,Pública,28,243.4133675233671,243.11704394712646,15.557878190092474
Alto,Centro-Oeste,MS,Urbana,Pública,180,252.13038313376722,252.8424796833397,13.13995620943825
Alto,Centro-Oeste,MT,Rural,Pública,40,248.17595392361324,247.94154893142044,16.38336325339469
Alto,Centro-Oeste,MT,Urbana,Privada,3,245.07242603864734,246.90787478260867,20.250086317623328
Alto,Centro-Oeste,MT,Urbana,Pública,170,250.2169960267487,251.35532968903829,12.721233639709212
Alto,Nordeste,AL,Urbana,Privada,18,268.341954261232,267.9505503809524,19.772032947538253
Alto,Nordeste,AL,Urbana,Pública,3,266.80164880287134,270.2415883849451,15.260415026039109
Alto,Nordeste,BA,Rural,Pública,6,233.3464833274687,230.46554053333332,15.283636782682288
Alto,Nordeste,BA,Urbana,Privada,4,268.7240925539578,269.97064209210527,14.994342679850504
Alto,Nordeste,BA,Urbana,Pública,27,263.4842710671501,265.24725254266696,12.654529035026869
Alto,Nordeste,CE,Rural,Pública,2,269.3046324430891,269.3046324430891,8.671696915138638
Alto,Nordeste,CE,Urbana,Privada,11,283.58777079529733,286.4572409285715,17.595427988428217
Alto,Nordeste,CE,Urbana,Pública,6,293.07446325221326,288.47593222290686,21.453523300364267
Alto,Nordeste,MA,Rural,Privada,2,274.1745366158088,274.1745366158088,15.103245515154711
Alto,Nordeste,MA,Rural,Pública,1,262.2030203322709,262.2030203322709,
Alto,Nordeste,MA,Urbana,Privada,13,277.3998506870946,277.2890784615385,18.97481434386432
Alto,Nordeste,MA,Urbana,Pública,11,284.5116452120134,290.57825474262194,27.910092495224234
Alto,Nordeste,PB,Rural,Privada,1,282.9042434117647,282.9042434117647,
Alto,Nordeste,PB,Urbana,Privada,15,277.3704905597362,275.7995659166667,15.676999353489224
Alto,Nordeste,PB,Urbana,Pública,17,260.04015348316165,254.83998602749412,16.83021596021345
Alto,Nordeste,PE,Urbana,Privada,14,281.9309404119619,278.96841420476187,15.169825309696392
Alto,Nordeste,PE,Urbana,Pública,15,287.9300208052131,286.0250730879574,16.678380769725408
Alto,Nordeste,PI,Urbana,Privada,26,285.200713484871,283.0644244736842,11.89194012526558
Alto,Nordeste,PI,Urbana,Pública,4,274.2102806051712,265.29051655372893,22.23939526165186
Alto,Nordeste,RN,Rural,Privada,1,306.61595125,306.61595125,
Alto,Nordeste,RN,Rural,Pública,1,250.505968375,250.505968375,
Alto,Nordeste,RN,Urbana,Privada,16,269.9934684797681,273.4727559509804,20.591500378820953
Alto,Nordeste,RN,Urbana,Pública,13,264.97939305945846,262.09402561755854,12.346964391822919
Alto,Nordeste,SE,Urbana,Privada,14,270.45186561310044,266.23163383076917,17.991880903716062
Alto,Nordeste,SE,Urbana,Pública,6,256.74172548375697,261.69167818366805,11.538590483286914
Alto,Norte,AC,Urbana,Privada,1,303.5887066052633,303.5887066052633,
Alto,Norte,AC,Urbana,Pública,12,274.1224504438363,277.2279638233083,10.552085208359673
Alto,Norte,AM,Rural,Pública,2,267.7139959577849,267.7139959577849,25.472415627117975
Alto,Norte,AM,Urbana,Privada,2,289.9930466249999,289.9930466249999,7.589558632141291
Alto,Norte,AM,Urbana,Pública,34,270.5951916937977,270.64118115723716,14.651422309236755
Alto,Norte,AP,Urbana,Privada,1,295.5099268205127,295.5099268205127,
Alto,Norte,AP,Urbana,Pública,9,258.1670343707698,256.1318775933578,9.965803418220176
Alto,Norte,PA,Rural,Pública,2,268.44271292649125,268.44271292649125,15.097875810685663
Alto,Norte,PA,Urbana,Privada,12,276.0322406287176,274.34386102777773,13.06928315905546
Alto,Norte,PA,Urbana,Pública,15,265.4701583623151,263.0591399545454,7.9325835977976435
Alto,Norte,RO,Rural,Privada,1,261.2782537499999,261.2782537499999,
Alto,Norte,RO,Rural,Pública,10,251.35226885983906,247.16373358928573,25.77919674108832
Alto,Norte,RO,Urbana,Privada,2,289.53823902807494,289.53823902807494,24.5098326619552
Alto,Norte,RO,Urbana,Pública,51,255.50290613771335,255.81127394594597,11.56592247011831
Alto,Norte,RR,Rural,Pública,2,228.45784701923077,228.45784701923077,5.1659093314042455
Alto,Norte,RR,Urbana,Pública,12,244.10019245424942,245.58027056865367,10.20256597739255
Alto,Norte,TO,Rural,Pública,3,247.92249122219258,244.80468100000004,9.437978776145513
Alto,Norte,TO,Urbana,Pública,31,265.48343627091407,266.3139821062481,14.162443992748672
Alto,Sudeste,ES,Rural,Pública,27,272.3080532053837,280.2816428125,20.291967727998102
Alto,Sudeste,ES,Urbana,Pública,182,265.0810482300721,266.4698687084531,15.16034695509602
Alto,Sudeste,MG,Rural,Pública,66,259.208527103455,258.47226810833325,17.79536615139746
Alto,Sudeste,MG,Urbana,Privada,1,279.73356173684203,279.73356173684203,
Alto,Sudeste,MG,Urbana,Pública,1097,254.97271294883083,255.94265100279597,14.953799246272363
Alto,Sudeste,RJ,Rural,Pública,46,257.1779653862401,258.04711392898093,20.285301091981005
Alto,Sudeste,RJ,Urbana,Privada,4,279.92997101787284,277.9066205482456,19.978287634373874
Alto,Sudeste,RJ,Urbana,Pública,344,258.12197025060755,259.2701255521813,18.31046496744583
Alto,Sudeste,SP,Rural,Pública,91,260.71633499195747,262.01663251515157,13.884998670390916
Alto,Sudeste,SP,Urbana,Pública,2268,257.8148829519174,257.7767640587314,12.685208458096058
Alto,Sul,PR,Rural,Pública,83,265.11752729929816,263.1100338275862,16.01209076092648
Alto,Sul,PR,Urbana,Pública,581,260.97899737188095,262.2040984283581,13.476632777175404
